amenity,geometry,name
fast_food,POINT (12.626786 43.9956746),Pizza mania 3
cafe,POINT (12.6269358 43.9960418),Caffè Veneto
fast_food,POINT (12.618065 43.9921988),
cafe,POINT (12.6163928 43.9909909),Zanni
cafe,POINT (12.6225507 43.9913151),CH4 Cafè
cafe,POINT (14.1305995 42.5335707),Martina Cafè
restaurant,POINT (14.1252341 42.5314702),Autogrill
cafe,POINT (14.1335299 42.5355879),Mama art café
restaurant,POINT (14.1319937 42.5323389),Ristorante da Giuliano
cafe,POINT (14.1305995 42.5335707),Martina Cafè
restaurant,POINT (14.1252341 42.5314702),Autogrill
cafe,POINT (14.1335299 42.5355879),Mama art café
restaurant,POINT (14.1319937 42.5323389),Ristorante da Giuliano
cafe,POINT (14.7774393 40.9184672),Punto Caffè
restaurant,POINT (14.7835523 40.925655),Autogrill
restaurant,POINT (14.7833699 40.9255701),Ciao
post_office,POINT (14.7835462 40.9208079),Ufficio Postale - via Giovanni Di G.
,POINT (14.7832404 40.9189379),Casa Mia
restaurant,POINT (13.6842624 41.4985426),Tempo di Giove
restaurant,POINT (13.6773421 41.4944828),Euro parking
restaurant,POINT (13.6842624 41.4985426),Tempo di Giove
restaurant,POINT (13.6773421 41.4944828),Euro parking
cafe,POINT (15.3161201 41.066839),Autogrill
restaurant,POINT (15.3148263 41.0648168),sarni
restaurant,POINT (13.6842624 41.4985426),Tempo di Giove
restaurant,POINT (13.6773421 41.4944828),Euro parking
bar,POINT (11.710317 45.04117),
cafe,POINT (11.7092527 45.0416188),
cafe,POINT (11.2150207 44.5183425),My Chef
restaurant,POINT (11.2150994 44.5183477),MyChef
restaurant,POINT (11.2145407 44.5196886),
cafe,POINT (11.2144421 44.5196839),
fast_food,POINT (11.214714 44.5183207),McDonald's
fast_food,POINT (11.214268 44.5198023),McDonald's
cafe,POINT (13.8429745 43.0746405),
cafe,POINT (13.8442225 43.0756324),
restaurant,POINT (13.8466723 43.0793647),Ristorante Casa De Mar
restaurant,POINT (13.84712 43.0702065),Bar Rivera
bar,POINT (13.847726 43.0735269),Lido Oltremare
restaurant,POINT (13.8476874 43.0735239),Lido oltre mare
fast_food,POINT (13.8442915 43.0755987),Spizzico
cafe,POINT (11.2150207 44.5183425),My Chef
restaurant,POINT (11.2150994 44.5183477),MyChef
restaurant,POINT (11.2145407 44.5196886),
cafe,POINT (11.2144421 44.5196839),
fast_food,POINT (11.214714 44.5183207),McDonald's
fast_food,POINT (11.214268 44.5198023),McDonald's
cafe,POINT (16.2195959 41.2507822),
cafe,POINT (16.21947 41.2518076),
cafe,POINT (13.8429745 43.0746405),
cafe,POINT (13.8442225 43.0756324),
restaurant,POINT (13.8466723 43.0793647),Ristorante Casa De Mar
restaurant,POINT (13.84712 43.0702065),Bar Rivera
