connector_evse_id,station_name,station_address,station_postal_code,station_coordinates_lat,station_coordinates_lon,station_brand,totEnergy,totSessions,totCost,Potenza (kW),Station Città,Ricavi totali (€) (IVA esclusa),Tempo Totale (min),denominazione_regione,EV_percentage_per_region
IT*F2X*EF2XITH3001*1,Area di Servizio - Brughiera Est,Autostrada dei laghi,21040,45.762379,8.810866,alpitronic GmbH,32222.063999999937,992,21915.1,300.0,Cascine Maggio,21266.09,25026.0,Lombardia,0.0767
IT*F2X*EF2XITH3001*2,Area di Servizio - Brughiera Est,Autostrada dei laghi,21040,45.762379,8.810866,alpitronic GmbH,25378.88,593,17263.09,300.0,Cascine Maggio,26771.76,20113.0,Lombardia,0.0767
IT*F2X*EF2XITH3002*1,Area di Servizio - Brughiera Est,Autostrada dei laghi,21040,45.762405,8.81087,alpitronic GmbH,51589.02800000006,1197,35102.47,300.0,Cascine Maggio,35024.03,31860.0,Lombardia,0.0767
IT*F2X*EF2XITH3002*2,Area di Servizio - Brughiera Est,Autostrada dei laghi,21040,45.762405,8.81087,alpitronic GmbH,23130.943999999996,824,15778.99,300.0,Cascine Maggio,16656.21,20028.0,Lombardia,0.0767
IT*F2X*EF2XITLINC03*1,Aeroporto - Linate Commerciale,Aeroporto Linate Commerciale,20090,45.461865,9.276166,alpitronic GmbH,27777.87599999999,955,19371.73,300.0,Milano,23719.01,40637.0,Piemonte,0.0732
IT*F2X*EF2XITLINC03*2,Aeroporto - Linate Commerciale,Aeroporto Linate Commerciale,20090,45.461865,9.276166,alpitronic GmbH,47775.99999999999,1660,33341.42,300.0,Milano,34927.01,66634.0,Piemonte,0.0732
IT*F2X*EF2XITA3051*1,Area di Servizio - Secchia Est,Autostrada del Sole,41100,44.66244,10.858156,alpitronic GmbH,1180.348,79,650.27,50.0,Modena,675.28,2640.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITA3051*2,Area di Servizio - Secchia Est,Autostrada del Sole,41100,44.66244,10.858156,alpitronic GmbH,2587.6419999999985,604,1169.13,22.0,Modena,1234.24,18337.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITA9003*1,Area di Servizio - Tevere Est,A1 - Autostrada del Sole,1021,42.623415,12.232488,alpitronic GmbH,2252.915,70,1532.01,,,,,Lazio,0.0694
IT*F2X*EF2XITA9003*2,Area di Servizio - Tevere Est,A1 - Autostrada del Sole,1021,42.623415,12.232488,alpitronic GmbH,1253.541,36,852.86,,,,,Lazio,0.0694
